Truck,Operation,in_Time,out_Time,waiting_Time
1,out,0,7,7
2,in_out,11,29,18
3,in,22,32,10
4,in_out,33,52,19
5,in,44,55,11
6,in_out,55,73,18
7,out,66,72,6
8,in,77,87,10
9,in_out,88,105,17
10,in,99,110,11
11,in_out,110,125,15
12,in,121,134,13
13,out,132,139,7
14,in,143,156,13
15,out,154,159,5
16,out,165,171,6
17,in_out,176,194,18
18,out,187,194,7
19,in,198,210,12
20,out,209,216,7
21,in,220,233,13
22,in,231,241,10
23,in,242,255,13
24,in,253,265,12
25,in,264,277,13
26,in,275,286,11
27,in_out,286,302,16
28,out,297,302,5
29,in_out,308,323,15
30,in,319,329,10
31,in_out,330,347,17
32,out,341,348,7
33,in_out,352,370,18
34,in,363,376,13
35,out,374,381,7
36,out,385,391,6
37,out,396,401,5
38,out,407,414,7
39,in,418,431,13
40,in_out,429,449,20
41,in_out,440,458,18
42,in_out,451,468,17
43,in_out,462,481,19
44,in,473,485,12
45,in,484,495,11
46,out,495,502,7
47,out,506,511,5
48,in,517,527,10
49,in_out,528,545,17
50,in,539,552,13
51,in,550,562,12
52,out,561,566,5
53,in,572,584,12
54,in,583,596,13
55,in,594,607,13
56,in,605,616,11
57,in,616,626,10
58,in,627,640,13
59,in,638,648,10
60,out,649,656,7
61,in,660,671,11
62,in,671,684,13
63,out,682,688,6
64,in_out,693,708,15
65,in,704,716,12
66,in,715,725,10
67,in_out,726,745,19
68,in,737,750,13
69,in_out,748,767,19
70,in_out,759,777,18
71,in_out,770,789,19
72,in,781,791,10
73,in_out,792,808,16
74,in,803,814,11
75,in,814,826,12
76,out,825,830,5
77,in,836,849,13
78,in_out,847,864,17
79,in_out,858,877,19
80,out,869,875,6
81,in,880,890,10
82,in_out,891,909,18
83,in,902,914,12
84,in,913,924,11
85,in_out,924,943,19
86,in,935,946,11
87,in_out,946,964,18
88,in_out,957,974,17
89,out,968,973,5
90,in,979,991,12
91,in,990,1003,13
92,out,1001,1006,5
93,in,1012,1022,10
94,in_out,1023,1039,16
95,in_out,1034,1051,17
96,in_out,1045,1063,18
97,out,1056,1063,7
98,in_out,1067,1086,19
99,out,1078,1083,5
100,in,1089,1100,11
101,in_out,1100,1119,19
102,in,1111,1123,12
103,out,1122,1129,7
104,in,1133,1145,12
105,in,1144,1154,10
106,in,1155,1165,10
107,in,1166,1178,12
108,in,1177,1190,13
109,in_out,1188,1206,18
110,in_out,1199,1219,20
111,out,1210,1215,5
112,in_out,1221,1239,18
113,in_out,1232,1247,15
114,out,1243,1250,7
115,in_out,1254,1272,18
116,in,1265,1275,10
117,in_out,1276,1293,17
118,out,1287,1293,6
119,in,1298,1308,10
120,out,1309,1315,6
121,out,1320,1327,7
122,out,1331,1336,5
123,in,1342,1353,11
124,in_out,1353,1372,19
125,out,1364,1370,6
126,in,1375,1388,13
127,in,1386,1396,10
128,out,1397,1404,7
129,in_out,1408,1426,18
130,out,1419,1426,7
